epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5080097317695618,0.0010000000474974513,1.2739447355270386,0.3405088186264038,2.039754867553711
1,0.6280298829078674,0.0010000000474974513,1.0148603916168213,0.4739725887775421,1.8563059568405151
2,0.6695462465286255,0.0010000000474974513,0.9033148884773254,0.6684931516647339,0.9428813457489014
3,0.7066174745559692,0.0010000000474974513,0.8152904510498047,0.5522505044937134,1.2221219539642334
4,0.7257401943206787,0.0010000000474974513,0.7429265379905701,0.553816020488739,1.958730936050415
5,0.7436047792434692,0.0010000000474974513,0.7101109027862549,0.5530332922935486,1.6454898118972778
6,0.7604629993438721,0.0010000000474974513,0.6674514412879944,0.747553825378418,0.731964111328125
7,0.7764824032783508,0.0010000000474974513,0.6172319054603577,0.7499021291732788,0.7375881671905518
8,0.780592143535614,0.0010000000474974513,0.6110350489616394,0.7937377691268921,0.5992984771728516
9,0.7895663976669312,0.0010000000474974513,0.5812512636184692,0.7722113728523254,0.6614104509353638
10,0.7953535318374634,0.0010000000474974513,0.5655949711799622,0.4551859200000763,2.07185959815979
11,0.8049987554550171,0.0010000000474974513,0.5406542420387268,0.7389432191848755,0.7480361461639404
12,0.8150632977485657,0.0010000000474974513,0.5262839198112488,0.7389432191848755,0.7708560824394226
13,0.8196762800216675,0.0010000000474974513,0.5085150599479675,0.6888453960418701,1.0233144760131836
14,0.8463473916053772,0.0005000000237487257,0.4356934130191803,0.7847357988357544,0.6515616178512573
15,0.8497022390365601,0.0005000000237487257,0.42568665742874146,0.8101761341094971,0.5625981092453003
16,0.8545668125152588,0.0005000000237487257,0.4179805815219879,0.7647749781608582,0.7567068934440613
17,0.8516312837600708,0.0005000000237487257,0.4077737629413605,0.7953033447265625,0.6367848515510559
18,0.8579216599464417,0.0005000000237487257,0.39385512471199036,0.7917808294296265,0.5756763815879822
19,0.8610249161720276,0.0005000000237487257,0.3936128318309784,0.698630154132843,0.9287527203559875
20,0.8623668551445007,0.0005000000237487257,0.37945419549942017,0.7197651863098145,0.8445263504981995
21,0.8735217452049255,0.0002500000118743628,0.3483271300792694,0.695107638835907,0.9138585925102234
22,0.8792250156402588,0.0002500000118743628,0.3382876515388489,0.7534246444702148,0.687189519405365
23,0.8797282576560974,0.0002500000118743628,0.3387060761451721,0.7499021291732788,0.7375809550285339
24,0.8817411661148071,0.0002500000118743628,0.3353344798088074,0.7608610391616821,0.7315552830696106
25,0.8821605443954468,0.0002500000118743628,0.32566797733306885,0.8504892587661743,0.43479955196380615
26,0.8832508325576782,0.0002500000118743628,0.3182061016559601,0.823091983795166,0.49829116463661194
27,0.8838379383087158,0.0002500000118743628,0.31499430537223816,0.7745596766471863,0.675984263420105
28,0.8861024975776672,0.0002500000118743628,0.3158441185951233,0.7964774966239929,0.6194377541542053
29,0.8937348127365112,0.0002500000118743628,0.30101293325424194,0.8090019822120667,0.5844211578369141
30,0.8902960419654846,0.0002500000118743628,0.3036784827709198,0.6825831532478333,1.0159552097320557
31,0.8982638716697693,0.0001250000059371814,0.28879714012145996,0.8246575593948364,0.4869065284729004
32,0.900109052658081,0.0001250000059371814,0.2812672257423401,0.8019569516181946,0.572430431842804
33,0.9046381115913391,0.0001250000059371814,0.27278944849967957,0.7894324660301208,0.6299751400947571
34,0.9012832045555115,0.0001250000059371814,0.2704746127128601,0.8183953166007996,0.5182099938392639
35,0.9006961584091187,0.0001250000059371814,0.2807505428791046,0.8090019822120667,0.542871356010437
36,0.9060639142990112,6.25000029685907e-05,0.2567025423049927,0.8062622547149658,0.551937460899353
37,0.9089155197143555,6.25000029685907e-05,0.2507486343383789,0.8285714387893677,0.4978492558002472
38,0.9059800505638123,6.25000029685907e-05,0.2597804069519043,0.8156555891036987,0.5163857936859131
39,0.9048058390617371,6.25000029685907e-05,0.2623055875301361,0.7882583141326904,0.6335189938545227
40,0.9110123515129089,6.25000029685907e-05,0.2528551518917084,0.8309197425842285,0.4772922396659851
41,0.9152058959007263,3.125000148429535e-05,0.2440677434206009,0.8070449829101562,0.5400762557983398
42,0.9113478064537048,3.125000148429535e-05,0.24363772571086884,0.8273972868919373,0.4978005886077881
43,0.9089993834495544,3.125000148429535e-05,0.25254276394844055,0.823091983795166,0.5026766657829285
44,0.9123542904853821,3.125000148429535e-05,0.24741511046886444,0.8086105585098267,0.5437491536140442
45,0.9084962010383606,3.125000148429535e-05,0.2472844272851944,0.8211350440979004,0.5114212036132812
